,author,likes,tags,text
1807,William W. Purkey,115984,"['dance', 'heaven', 'hurt', 'inspirational', 'life', 'love', 'sing']",You've gotta dance like there's nobody watching
1808,Dr. Seuss,113071,"['attributed-no-source', 'dreams', 'love', 'reality', 'sleep']",You know you're in love when you can't fall asleep because reality is finally better than your dreams.
1809,Mae West,105455,"['humor', 'life']","You only live once, but if you do it right, once is enough."
1810,Mahatma Gandhi,104085,"['action', 'change', 'inspirational', 'philosophy', 'wish']",Be the change that you wish to see in the world.
1811,Robert Frost,98020,['life'],In three words I can sum up everything I've learned about life: it goes on.
1812,"J.K. Rowling,",94000,['94000 likes'],"If you want to know what a man's like, take a good look at how he treats his inferiors, not his equals."
1813,Albert Camus,84184,"['attributed-no-source', 'friends', 'friendship', 'misattributed-albert-camus']",Don’t walk in front of me… I may not follo
1814,"Eleanor Roosevelt,",83488,"['confidence', 'inspirational', 'wisdom']",No one can make you feel inferior without your consent.
1815,"C.S. Lewis,",83106,['friendship'],"Friendship ... is born at the moment when one man says to another ""What! You too? I thought that no one but myself . . ."
1816,Mark Twain,82251,"['lies', 'lying', 'memory', 'truth']","If you tell the truth, you don't have to remember anything."
1817,Elbert Hubbard,77304,"['friend', 'friendship', 'knowledge', 'love']",A friend is someone who knows all about you and still loves you.
1818,Maya Angelou,77223,['77223 likes'],"I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel."
1819,Oscar Wilde,74237,"['attributed-no-source', 'enemies', 'forgiveness', 'strategy']",Always forgive your enemies; nothing annoys them so much.
1820,Oscar Wilde,71757,['life'],"To live is the rarest thing in the world. Most people exist, that is all."
1821,Mahatma Gandhi,71451,"['carpe-diem', 'education', 'inspirational', 'learning']",Live as if you were to die tomorrow. Learn as if you were to live forever.
1822,"Martin Luther King Jr.,",70722,"['darkness', 'drive-out', 'hate', 'inspirational', 'light', 'love', 'peace']",Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.
1823,"Oscar Wilde,",66718,"['intelligence', 'self-deprecation']",I am so clever that sometimes I don't understand a single word of what I am saying.
1824,"Friedrich Nietzsche,",65507,"['inspirational', 'music', 'philosophy']","Without music, life would be a mistake."
1825,Ralph Waldo Emerson,64095,"['accomplishment', 'attributed-no-source', 'be-yourself', 'conformity', 'individuality']",To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.
